#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
5.0,75,6408.153814
4.0,69,6412.246166
3.0,62,6415.879502
1.0,75,6420.260202
5.0,101,6426.189471
4.0,78,6430.75666
4.0,86,6435.792101
15.0,478,6463.737613
3.0,103,6469.786829
16.0,458,6496.618871
10.0,198,6508.194226
3.0,71,6512.325724
14.0,270,6528.101395
16.0,266,6543.705208
6.0,126,6551.304589
14.0,282,6568.294936
3.0,75,6573.082277
0.0,68,6577.371708
3.0,75,6581.905095
6.0,128,6589.476559
9.0,220,6602.782594
4.0,84,6607.936226
7.0,151,6617.020758
2.0,97,6622.854835
3.0,70,6627.163458
6.0,126,6635.099388
4.0,77,6639.791555
5.0,87,6645.028161
5.0,78,6649.61887
5.0,111,6656.219238
4.0,79,6660.975914
14.0,274,6677.522436
5.0,90,6682.844219
10.0,232,6696.731956
6.0,124,6704.210181
6.0,151,6713.101329
10.0,160,6722.73844
11.0,192,6734.256134
4.0,84,6739.330889
2.0,70,6743.506819
6.0,108,6750.048204
3.0,75,6754.51623
4.0,79,6759.219184
11.0,196,6771.064092
4.0,78,6775.807348
4.0,75,6780.360643
5.0,167,6790.536867
8.0,159,6800.052286
4.0,80,6804.850721
6.0,101,6810.9349
5.0,102,6817.068591
8.0,153,6826.139853
10.0,222,6839.506711
11.0,191,6851.335411
4.0,87,6856.577087
9.0,164,6866.370938
